LONGITUDE,LATITUDE,CLASS,ASPECT1,ELEVATION1,GEOLOGY1,LULC1,NDVI1,RAINFALL1,ROAD1,SLOPE1,SOIL1,STREAM1
88.598917,27.282444,1,281,823.713256835938,9,7.99401330947876,0.156852230429649,1229.44689941406,5,19,1,1
88.589417,27.292944,1,35,856.986633300781,9,2,0.0723212212324142,1208.75671386719,5,18,4,1
88.506056,27.315083,1,94,1481.23193359375,9,8,0.357819527387619,920.178955078125,5,8,1,1
88.557583,27.313917,1,28,1272.27783203125,8,8,0.249589130282402,1129.43090820312,5,17,1,1
88.558139,27.315028,1,119,1232.27856445312,8,3.02112340927124,0.317106753587723,1129.43090820312,5,12,1,1
88.558611,27.315028,1,128,1221.74072265625,8,8.23019886016846,0.323479413986206,1129.43090820312,5,29,1,1
88.559889,27.316,1,121,1251.462890625,8,8,0.342513620853424,1129.43090820312,5,34,1,1
88.560056,27.316944,1,142,1266.10778808594,8,8.00099754333496,0.324095696210861,1129.43090820312,5,18,1,1
88.606667,27.315833,1,92,1461.83422851562,9,2,0.14672327041626,1246.30969238281,5,29,1,1
88.49225,27.330778,1,296,866.109436035156,9,8,0.221634477376938,891.528076171875,5,24,1,1
88.609111,27.33825,1,235,1573.94226074219,9,2,0.146634548902512,1264.73815917969,5,28,1,2
88.600556,27.348722,1,344,1254.05676269531,8,8,0.0381433330476284,1253.53173828125,5,30,2,1
88.542333,27.374583,1,132,1855.33715820312,8,8.23618507385254,0.356381177902222,1118.525390625,5,33,1,1
88.542444,27.374583,1,120,1809.57836914062,8,8.00099754333496,0.377745002508163,1118.525390625,5,36,1,1
88.542833,27.375139,1,122,1797.123046875,8,8.76381492614746,0.352306753396988,1118.525390625,5,49,1,1
88.54275,27.375194,1,122,1797.123046875,8,8.76381492614746,0.352306753396988,1118.525390625,5,49,1,1
88.617556,27.372333,1,324,1883.36413574219,9,8,0.0522535666823387,1294.81372070312,5,33,1,2
88.541667,27.378444,1,342,1757.13122558594,8,8,0.058428518474102,1113.99365234375,5,30,1,2
88.650556,27.19375,1,300,1124.36059570312,9,8,0.13326770067215,1282.57434082031,5,29,1.74279022216797,2
88.650528,27.193794,1,300,1124.36059570312,9,8,0.13326770067215,1282.57434082031,5,29,1.74279022216797,2
88.631992,27.195083,1,9,585.690185546875,9,8,0.12056291103363,1267.8115234375,5,33,1,1
88.625444,27.195703,1,326,562.748168945312,9,8,0.0814037993550301,1257.11315917969,5,38,2,1
88.6342,27.195511,1,325,578.053771972656,9,8,0.0707202851772308,1267.8115234375,5,32,1,1
88.634028,27.195639,1,338,554.272766113281,9,8,0.05343122407794,1267.8115234375,5,27,1,1
88.638725,27.198856,1,303,591.747680664062,9,8,0.162470325827599,1274.43029785156,5,25,1,1
88.641633,27.199722,1,316,612.947326660156,9,8,0.0051682558842003,1274.43029785156,5,44,1,1
88.6605,27.198861,1,335,1034.70568847656,9,8,0.0188118685036898,1293.41198730469,5,54,1,1
88.66095,27.198928,1,340,1044.630859375,9,8,0.0216415282338858,1293.41198730469,5,50,1,1
